date,location,temperature_c,humidity_pct,rainfall_mm,co2_ppm,aqi,energy_kwh,water_liters,renewable_pct,extreme_weather_index,risk_level
2020-03-11,Mumbai,31.39,70.65,1.43,431.29,73.1,495.82,2977.68,31.4,12.71,Moderate
2020-03-12,Delhi,30.81,72.54,9.92,413.64,63.5,385.8,3004.24,31.7,14.83,Low
2020-03-13,Bengaluru,30.05,80.89,9.1,425.35,49.6,430.1,3260.81,28.97,16.55,Low
2020-03-14,Chennai,31.46,66.34,3.6,432.78,92.7,454.69,3305.61,27.91,11.74,Moderate
2020-03-15,Delhi,30.12,65.73,1.41,421.44,70.0,371.03,2996.13,25.47,0.0,Low
2020-03-16,Delhi,30.62,70.04,15.77,416.54,80.6,415.28,3158.84,31.35,14.85,Moderate
2020-03-17,Mumbai,33.09,69.29,3.98,418.0,92.6,512.21,3281.34,30.37,20.74,Moderate
2020-03-18,Mumbai,31.24,61.73,22.4,413.73,94.7,487.46,2994.13,35.36,17.13,Moderate
2020-03-19,Chennai,34.2,67.08,2.4,422.4,69.0,487.09,3232.11,34.19,41.56,Moderate
2020-03-20,Chennai,31.96,67.91,10.04,427.48,60.9,484.35,3125.62,25.61,25.79,Moderate
2020-03-21,Bengaluru,30.61,65.36,19.14,418.29,70.0,455.55,3107.53,21.94,7.76,Moderate
2020-03-22,Bengaluru,28.5,64.87,4.43,413.98,39.9,459.38,3269.25,27.69,12.09,Low
2020-03-23,Bengaluru,31.51,66.06,8.3,417.95,72.1,470.63,3469.63,29.0,9.22,Moderate
2020-03-24,Chennai,27.93,66.81,3.43,417.65,74.2,411.47,3062.17,35.47,6.34,Low
2020-03-25,Chennai,29.55,73.63,6.5,438.56,52.3,473.59,3286.56,26.98,14.9,Moderate
2020-03-26,Hyderabad,29.7,69.04,16.84,423.3,56.5,422.41,2834.49,33.7,12.49,Low
2020-03-27,Mumbai,30.7,70.86,8.46,418.48,74.8,458.84,3022.53,33.44,10.41,Moderate
2020-03-28,Mumbai,31.41,66.53,12.62,426.0,74.1,524.55,3130.1,28.96,19.66,Moderate
2020-03-29,Bengaluru,33.11,65.85,0.92,416.15,53.5,428.56,2762.41,26.68,29.74,Moderate
2020-03-30,Chennai,33.13,73.22,7.06,416.39,41.3,450.47,3024.87,36.77,36.25,Moderate
2020-03-31,Mumbai,29.29,72.81,5.12,427.36,58.1,377.79,2791.24,30.55,9.9,Low
2020-04-01,Delhi,33.1,74.28,2.98,435.51,71.8,437.71,3254.12,31.72,30.27,Moderate
2020-04-02,Mumbai,29.11,63.25,6.67,424.48,92.7,423.25,3151.58,33.91,12.78,Low
2020-04-03,Mumbai,32.44,66.73,2.0,432.15,108.5,478.21,3181.27,24.9,19.41,Moderate
2020-04-04,Hyderabad,28.96,72.37,0.59,421.53,62.6,437.15,3055.19,37.52,17.39,Low
2020-04-05,Mumbai,27.74,69.79,4.36,422.56,84.1,407.85,2645.59,30.42,17.23,Low
2020-04-06,Bengaluru,30.94,72.92,8.59,412.36,42.3,482.66,3300.51,16.42,15.14,Low
2020-04-07,Bengaluru,29.63,67.7,10.71,413.57,67.8,421.13,3078.46,26.76,7.1,Low
2020-04-08,Chennai,31.21,78.96,11.66,411.97,96.8,493.12,3323.63,29.24,13.1,Moderate
2020-04-09,Chennai,30.6,68.88,8.52,426.47,78.6,438.54,3199.71,36.07,4.12,Moderate
2020-04-10,Delhi,29.44,69.81,2.49,424.14,67.3,431.63,3334.92,33.97,15.06,Low
2020-04-11,Delhi,32.92,70.02,7.58,430.24,79.5,485.26,3343.56,29.35,18.15,Moderate
2020-04-12,Mumbai,33.01,56.95,19.51,421.21,36.7,452.75,3149.61,30.14,24.28,Moderate
2020-04-13,Bengaluru,32.83,58.16,5.8,418.97,64.5,463.89,3313.37,18.98,23.4,Moderate
2020-04-14,Chennai,35.16,63.66,3.7,427.31,65.0,504.16,3216.05,24.77,45.2,Moderate
2020-04-15,Mumbai,30.97,71.65,0.92,428.31,92.5,512.34,2945.43,26.83,15.75,Moderate
2020-04-16,Hyderabad,32.33,66.44,11.33,417.41,57.0,415.73,3056.52,34.46,18.42,Moderate
2020-04-17,Bengaluru,32.6,65.79,8.72,419.42,75.0,408.61,3134.68,26.59,21.71,Moderate
2020-04-18,Chennai,30.04,65.31,3.26,425.37,82.6,402.46,3112.7,24.82,5.59,Low
2020-04-19,Mumbai,32.29,69.01,11.96,426.29,83.2,472.82,3123.22,25.79,21.96,Moderate
2020-04-20,Delhi,32.54,56.57,16.95,440.10662803621824,129.26775143125988,853.7577659284532,3018.27,26.18,22.62,Moderate
2020-04-21,Mumbai,28.95,64.33,5.42,420.73,75.5,415.72,2709.66,29.9,13.61,Low
2020-04-22,Bengaluru,33.66,67.93,3.02,410.74,67.9,474.98,3256.54,22.48,32.25,Moderate
2020-04-23,Chennai,27.87,58.68,2.31,416.45,52.0,355.75,2675.52,38.43,9.15,Low
2020-04-24,Bengaluru,31.04,69.46,0.39,424.27,77.4,481.94,3265.81,23.18,10.28,Moderate
2020-04-25,Mumbai,31.93,66.0,15.2,419.5,62.2,533.72,3327.05,32.13,18.32,Moderate
2020-04-26,Bengaluru,29.0,71.89,13.05,426.86,81.0,433.44,2779.54,22.75,16.02,Low
2020-04-27,Bengaluru,28.11,70.78,6.75,419.73,66.8,430.78,3142.96,24.97,13.47,Low
2020-04-28,Hyderabad,31.4,62.23,11.02,428.24,82.2,428.89,3151.57,31.4,21.71,Moderate
2020-04-29,Bengaluru,31.07,64.01,8.14,415.65,78.8,466.25,3284.19,24.83,14.22,Moderate
2020-04-30,Delhi,26.22,80.11,5.79,432.57,52.8,398.16,2923.85,17.2,3.96,Low
2020-05-01,Delhi,27.35,66.31,0.91,419.25,55.3,416.36,2940.76,25.27,9.07,Low
2020-05-02,Delhi,30.05,81.86,1.19,421.17,61.0,493.13,2683.02,18.43,3.59,Low
2020-05-03,Mumbai,31.32,68.7,5.59,419.46,62.4,481.71,3113.5,33.96,14.12,Moderate
2020-05-04,Chennai,31.01,65.77,8.0,414.88,72.0,503.9,2772.92,27.57,5.66,Moderate
2020-05-05,Mumbai,30.25,69.22,8.04,421.43,44.5,473.34,3085.3,24.01,8.31,Low
2020-05-06,Hyderabad,29.21,75.5,5.17,418.98,68.2,452.99,3032.32,19.02,15.1,Low
2020-05-07,Mumbai,30.72,64.66,14.95,410.25,64.2,443.23,3261.94,25.32,11.23,Low
2020-05-08,Hyderabad,28.97,58.08,6.94,417.59,42.1,489.8,2901.14,27.77,1.96,Low
2020-05-09,Mumbai,30.65,70.13,5.06,422.61,55.0,444.87,3135.62,22.39,3.45,Low
2020-05-10,Hyderabad,28.36,59.98,14.52,422.3,59.0,410.98,2971.22,21.37,7.74,Low
2020-05-11,Hyderabad,30.8,69.96,8.05,414.37,102.6,458.26,3062.76,19.92,13.5,Moderate
2020-05-12,Hyderabad,28.7,66.59,19.08,414.09,53.7,475.74,3319.65,22.72,11.33,Low
2020-05-13,Mumbai,31.48,59.93,2.16,412.66,84.9,484.76,2972.06,22.7,11.37,Moderate
2020-05-14,Hyderabad,28.51,63.87,1.81,416.73,72.2,457.66,3262.87,20.78,5.77,Low
2020-05-15,Bengaluru,29.62,62.82,13.69,412.23,76.5,487.84,3126.73,25.17,18.94,Moderate
2020-05-16,Delhi,29.41,63.84,6.48,422.36,67.2,400.74,3114.79,29.51,15.65,Low
2020-05-17,Hyderabad,29.43,66.2,4.2,423.04,50.3,421.29,2932.25,25.4,0.03,Low
2020-05-18,Chennai,28.51,69.23,2.13,418.21,81.2,439.5,2707.9,19.95,9.59,Low
2020-05-19,Bengaluru,28.36,66.63,8.88,422.73,89.0,473.42,2571.48,27.0,15.35,Low
2020-05-20,Delhi,30.25,71.33,2.9,416.21,82.7,481.31,2930.24,22.52,10.89,Moderate
2020-05-21,Chennai,32.43,65.04,7.02,421.64,93.8,493.27,3112.2,27.85,21.19,Moderate
2020-05-22,Chennai,28.03,78.7,5.84,472.7911422319828,155.44609438691296,881.3857991105599,3037.58,29.95,3.23,Low
2020-05-23,Mumbai,33.75,62.06,4.04,422.73,81.7,474.98,3246.67,28.74,36.93,Moderate
2020-05-24,Hyderabad,29.68,73.27,10.7,415.8,62.3,437.81,3378.37,18.5,0.0,Low
2020-05-25,Chennai,30.83,71.29,5.13,429.8,45.9,458.98,3138.06,13.51,3.23,Low
2020-05-26,Chennai,31.47,55.7,3.15,417.19,80.6,508.33,3075.92,15.66,19.8,Moderate
2020-05-27,Hyderabad,31.15,74.02,7.62,432.75,111.4,452.13,3008.17,23.42,17.97,Moderate
2020-05-28,Bengaluru,32.68,67.02,19.71,410.72,70.0,436.83,3373.98,27.6,34.66,Moderate
2020-05-29,Hyderabad,32.65,61.99,2.11,419.2,83.0,478.24,3281.28,24.76,24.2,Moderate
2020-05-30,Mumbai,27.81,58.22,16.65,483.9802001017475,119.85997610018012,741.2972121795814,3069.62,22.09,6.53,Low
2020-05-31,Bengaluru,29.87,63.24,2.44,407.21,53.3,461.89,3137.53,21.86,17.02,Low
2020-06-01,Bengaluru,29.05,84.28,4.46,410.47,44.8,423.05,3203.41,18.67,6.37,Low
2020-06-02,Chennai,28.47,68.18,17.44,428.96,50.0,388.03,3290.94,26.95,8.77,Low
2020-06-03,Chennai,28.69,81.21,29.02,419.45,77.0,369.11,2983.18,24.02,10.38,Low
2020-06-04,Hyderabad,26.66,82.46,14.45,427.8,81.7,445.03,2955.6,16.41,14.59,Low
2020-06-05,Hyderabad,27.41,75.17,8.81,414.07,45.3,436.2,3096.49,16.77,2.89,Low
2020-06-06,Bengaluru,30.98,63.22,8.25,414.86,67.5,470.85,2967.51,23.05,11.17,Moderate
2020-06-07,Mumbai,29.56,71.81,5.64,422.9,66.9,390.01,2939.76,19.07,5.47,Low
2020-06-08,Chennai,29.06,71.08,3.23,414.89,90.6,436.95,3030.29,19.48,6.14,Low
2020-06-09,Delhi,29.1,70.07,2.04,417.27,86.8,415.62,3182.04,20.41,17.1,Low
2020-06-10,Hyderabad,28.92,65.17,6.77,420.77,74.5,438.91,2994.28,17.55,8.9,Low
2020-06-11,Mumbai,27.59,72.96,14.79,419.98,39.5,443.18,3046.56,25.58,5.79,Low
2020-06-12,Delhi,31.66,72.29,2.99,428.51,66.2,498.5,3416.84,24.59,15.64,Moderate
2020-06-13,Bengaluru,26.96,69.5,10.03,417.93,53.1,445.88,2916.11,34.64,11.44,Low
2020-06-14,Hyderabad,30.57,59.56,2.19,415.7,60.6,458.44,3374.22,18.63,5.8,Low
2020-06-15,Hyderabad,27.44,63.61,3.86,431.65,79.3,424.43,3000.02,26.61,9.37,Low
2020-06-16,Delhi,27.95,61.19,23.87,419.4,40.4,425.19,2925.19,28.65,12.75,Low
2020-06-17,Chennai,26.74,65.89,3.2,425.55,67.7,454.66,2893.34,15.05,6.42,Low
2020-06-18,Chennai,27.73,77.61,7.8,414.12,59.5,450.46,3006.25,23.06,8.75,Low
2020-06-19,Chennai,25.43,66.15,10.69,416.21,60.6,402.73,2873.75,21.73,8.01,Low
2020-06-20,Chennai,29.29,72.05,7.81,424.85,72.1,451.63,2670.85,11.32,15.35,Low
2020-06-21,Chennai,28.99,65.09,11.05,412.45,67.8,466.94,3314.54,13.58,4.14,Low
2020-06-22,Mumbai,25.92,68.85,5.08,422.64,72.2,426.0,3065.23,22.81,17.39,Low
2020-06-23,Mumbai,29.28,77.87,0.69,418.0,73.6,402.1,3163.56,19.09,15.76,Low
2020-06-24,Bengaluru,31.06,67.19,3.97,421.13,46.1,448.03,3319.25,14.46,14.3,Moderate
2020-06-25,Hyderabad,26.34,75.26,4.94,424.92,93.2,398.41,2743.39,28.22,0.79,Low
2020-06-26,Delhi,23.81,75.87,6.97,417.35,46.0,361.99,2736.0,21.83,4.86,Low
2020-06-27,Delhi,26.4,77.05,4.56,406.66,64.8,322.33,3337.41,25.12,7.55,Low
2020-06-28,Chennai,28.5,62.89,2.43,422.51,59.3,451.14,2790.38,12.06,9.96,Low
2020-06-29,Hyderabad,27.4,76.53,1.14,420.73,99.2,433.71,2930.2,22.38,8.9,Low
2020-06-30,Chennai,31.77,72.48,15.21,414.15,90.4,480.86,3342.03,17.27,23.04,Moderate
2020-07-01,Mumbai,28.55,75.0,4.22,420.57,72.3,460.29,2962.82,26.46,3.02,Low
2020-07-02,Bengaluru,28.22,70.58,5.92,423.61,79.7,338.89,2831.26,14.87,7.89,Low
2020-07-03,Mumbai,27.14,76.04,3.3,429.59,48.1,466.59,3204.44,20.49,16.47,Low
2020-07-04,Delhi,30.26,75.2,0.1,410.54,87.7,430.53,3050.39,16.05,12.56,Moderate
2020-07-05,Bengaluru,23.99,64.85,1.27,418.75,46.2,337.9,3071.79,17.67,7.04,Low
2020-07-06,Mumbai,26.44,67.54,12.98,420.56,69.8,394.6,2961.73,16.64,14.07,Low
2020-07-07,Delhi,26.5,67.39,4.19,415.73,83.4,432.37,3122.19,13.38,11.33,Low
2020-07-08,Delhi,26.75,67.58,2.79,414.71,56.9,378.13,2817.86,23.1,4.1,Low
2020-07-09,Hyderabad,23.02,63.93,2.7,412.58,81.9,338.11,2824.93,13.76,10.35,Low
2020-07-10,Hyderabad,23.69,72.82,1.07,418.13,62.6,408.01,2800.84,4.11,12.14,Low
2020-07-11,Bengaluru,27.32,60.08,1.45,413.7,51.0,419.09,2889.41,18.96,0.73,Low
2020-07-12,Bengaluru,24.04,65.39,7.2,423.27,60.7,316.68,2745.5,21.86,12.28,Low
2020-07-13,Delhi,27.75,69.26,1.15,407.42,87.1,400.24,2923.62,19.73,6.49,Low
2020-07-14,Bengaluru,24.59,71.91,19.2,406.09,63.0,393.32,2821.95,14.28,10.06,Low
2020-07-15,Bengaluru,25.07,61.03,2.45,407.03,49.2,308.51,2935.92,12.5,9.65,Low
2020-07-16,Mumbai,28.04,66.81,4.61,411.93,61.4,361.06,2698.63,23.39,6.96,Low
2020-07-17,Hyderabad,25.9,70.22,4.98,409.61,61.2,413.7,2803.83,21.53,9.52,Low
2020-07-18,Mumbai,26.76,65.23,5.09,412.19,74.9,372.77,2721.5,22.04,4.6,Low
2020-07-19,Mumbai,27.3,77.12,4.72,414.25,65.8,387.58,2668.34,25.45,13.68,Low
2020-07-20,Bengaluru,28.16,79.27,16.49,419.16,78.9,430.86,3321.9,7.46,6.51,Low
2020-07-21,Bengaluru,25.51,79.15,9.34,421.97,74.8,387.92,2621.79,12.3,6.47,Low
2020-07-22,Delhi,26.45,69.07,2.69,414.42,81.5,400.92,3115.96,20.66,3.47,Low
2020-07-23,Delhi,27.16,66.7,2.99,408.87,68.5,428.62,2982.2,15.95,13.34,Low
2020-07-24,Delhi,21.77,62.5,4.86,413.95,90.5,354.7,2619.98,15.48,17.26,Low
2020-07-25,Chennai,23.48,65.89,3.53,399.3,53.4,359.26,2809.89,16.25,5.07,Low
2020-07-26,Hyderabad,25.06,71.67,9.94,413.8,83.1,387.65,3112.11,18.49,11.0,Low
2020-07-27,Hyderabad,24.63,74.38,6.14,401.42,53.3,350.17,2891.78,31.51,10.11,Low
2020-07-28,Mumbai,25.94,75.61,5.75,411.41,73.7,410.93,2771.94,9.72,1.21,Low
2020-07-29,Chennai,26.86,69.24,5.36,416.57,69.0,411.44,2711.99,19.83,22.47,Low
2020-07-30,Hyderabad,23.53,70.5,15.17,420.57,72.5,317.12,2705.67,18.89,9.16,Low
2020-07-31,Mumbai,24.93,72.82,2.17,416.04,72.6,428.48,2539.1,14.8,7.55,Low
2020-08-01,Hyderabad,27.75,64.67,12.56,416.0,68.1,442.74,2662.38,14.71,9.98,Low
2020-08-02,Hyderabad,26.22,67.0,0.44,474.92740227351186,148.38443410545347,865.0480619379547,2971.29,25.8,13.25,Low
2020-08-03,Bengaluru,24.14,69.12,7.39,416.54,83.4,397.06,3172.53,6.53,3.43,Low
2020-08-04,Mumbai,24.52,70.99,9.63,405.87,64.7,434.59,2904.64,12.88,9.33,Low
2020-08-05,Bengaluru,24.91,72.45,5.09,408.3,63.2,458.35,3062.01,11.69,9.89,Low
2020-08-06,Delhi,25.23,65.42,5.97,410.06,63.6,386.13,2779.88,18.33,0.0,Low
2020-08-07,Bengaluru,20.25,67.28,0.37,416.21,88.0,312.54,2760.51,27.32,7.2,Low
2020-08-08,Mumbai,21.25,66.6,3.51,410.63,53.6,380.21,2764.84,18.34,19.24,Low
2020-08-09,Bengaluru,23.98,77.41,7.3,420.46,50.6,310.55,3296.66,8.14,9.1,Low
2020-08-10,Chennai,25.7,78.64,3.04,410.26,50.5,378.81,3090.81,19.3,11.78,Low
2020-08-11,Chennai,20.13,76.63,4.45,427.95,99.8,368.49,3085.86,28.81,8.66,Low
2020-08-12,Delhi,23.27,72.68,10.4,413.13,75.5,359.92,2979.05,12.74,12.01,Low
2020-08-13,Hyderabad,21.88,72.77,2.92,400.64,61.2,370.07,2713.19,14.92,9.68,Low
2020-08-14,Bengaluru,26.37,72.85,20.78,413.09,62.7,391.41,3003.84,9.83,14.93,Low
2020-08-15,Bengaluru,22.06,72.7,2.31,409.18,40.1,371.64,3272.58,19.52,16.77,Low
2020-08-16,Hyderabad,21.85,69.95,1.11,412.38,63.7,313.35,2540.93,16.0,0.0,Low
2020-08-17,Hyderabad,22.43,64.34,0.69,418.45,56.6,344.63,2644.73,26.42,12.95,Low
2020-08-18,Hyderabad,22.1,69.82,1.38,410.08,47.0,332.9,2909.25,14.86,11.15,Low
2020-08-19,Mumbai,18.58,72.86,3.08,418.62,81.7,321.63,2614.08,15.5,13.66,Low
2020-08-20,Bengaluru,29.08,65.7,1.65,408.1,49.0,418.85,3038.06,16.21,17.81,Low
2020-08-21,Hyderabad,22.87,63.11,7.16,403.14,64.1,400.2,2721.67,23.88,1.27,Low
2020-08-22,Hyderabad,22.37,73.1,2.76,425.01,39.6,360.73,2573.26,9.55,10.75,Low
2020-08-23,Bengaluru,23.09,57.86,0.63,413.87,39.3,397.05,2824.27,15.42,17.37,Low
2020-08-24,Bengaluru,23.09,67.32,0.83,404.62,67.8,352.69,3147.34,13.73,3.66,Low
2020-08-25,Bengaluru,23.39,62.89,6.26,416.94,84.4,322.29,2944.13,15.63,13.92,Low
2020-08-26,Hyderabad,24.38,81.67,3.06,425.75,69.3,413.46,3056.8,18.14,2.15,Low
2020-08-27,Mumbai,22.28,68.91,2.1,419.8,86.5,351.0,2861.23,10.5,10.0,Low
2020-08-28,Chennai,24.19,63.71,6.25,422.31,56.4,418.64,2467.19,13.02,0.0,Low
2020-08-29,Delhi,24.45,68.39,5.16,405.14,58.4,363.39,2699.09,25.69,15.66,Low
2020-08-30,Delhi,21.8,66.07,2.8,412.59,25.1,296.27,3148.56,19.68,11.9,Low
2020-08-31,Chennai,22.01,76.24,1.24,398.89,34.4,369.53,2686.7,26.23,13.15,Low
2020-09-01,Chennai,24.27,66.17,3.31,413.69,71.3,396.16,3002.34,13.89,8.75,Low
2020-09-02,Chennai,21.38,79.31,3.26,401.48,30.7,403.91,2823.52,18.09,12.11,Low
2020-09-03,Chennai,26.47,74.39,3.89,412.26,64.6,401.68,3053.93,11.41,10.3,Low
2020-09-04,Hyderabad,23.38,75.98,2.58,407.91,65.2,396.39,2763.25,20.16,0.0,Low
2020-09-05,Chennai,21.83,69.96,2.48,411.12,50.8,386.11,2834.94,30.59,11.02,Low
2020-09-06,Delhi,24.42,67.08,1.1,401.54,64.5,401.06,2593.31,23.64,10.95,Low
2020-09-07,Delhi,27.23,60.24,3.29,407.92,62.2,389.9,2992.91,12.49,17.56,Low
2020-09-08,Chennai,19.9,65.9,4.04,424.25,90.7,330.67,2602.7,17.56,13.12,Low
2020-09-09,Chennai,25.7,77.47,3.73,414.61,67.0,434.03,3311.53,14.47,10.34,Low
2020-09-10,Bengaluru,23.41,72.22,7.24,400.75,67.9,362.59,2900.8,9.9,8.43,Low
2020-09-11,Delhi,22.13,77.33,5.13,403.9,60.4,312.05,2734.47,20.07,12.34,Low
2020-09-12,Hyderabad,22.97,58.05,11.36,406.67,75.1,370.36,2455.28,14.81,16.99,Low
2020-09-13,Bengaluru,25.16,57.85,1.92,458.1466959766907,129.16637589775533,619.4016453682145,3100.0,20.08,14.26,Low
